"No.","Time","Source","Destination","Protocol","Length","Info"
"404669","6041.508321","192.168.0.101","106.51.156.186","DNS","79","Standard query 0x5e0c A teams.microsoft.com"
"404670","6041.508334","192.168.0.101","106.51.156.186","DNS","79","Standard query 0x5da6 HTTPS teams.microsoft.com"
"404671","6041.508343","192.168.0.101","106.51.156.186","DNS","90","Standard query 0xe86d AAAA go.trouter.teams.microsoft.com"
"404672","6041.508395","192.168.0.101","106.51.156.186","DNS","90","Standard query 0x820e A go.trouter.teams.microsoft.com"
"404673","6041.508594","192.168.0.101","106.51.156.186","DNS","90","Standard query 0x9225 HTTPS go.trouter.teams.microsoft.com"
"404675","6041.512980","106.51.156.186","192.168.0.101","DNS","356","Standard query response 0x0809 AAAA teams.microsoft.com CNAME teams.office.com CNAME tmc-g2.tm-4.office.com AAAA 2603:1063:5:102::365:7ea3 AAAA 2603:1063:5:103::365:7ea3 AAAA 2603:1063:5:109::365:7ea3 AAAA 2603:1063:5:106::365:7ea3 AAAA 2603:1063:5:10a::365:7ea3 AAAA 2603:1063:5:10b::365:7ea3 AAAA 2603:1063:5:101::365:7ea3 AAAA 2603:1063:5:10d::365:7ea3"
"404676","6041.512980","106.51.156.186","192.168.0.101","DNS","260","Standard query response 0x5e0c A teams.microsoft.com CNAME teams.office.com CNAME tmc-g2.tm-4.office.com A 52.123.253.108 A 52.123.253.100 A 52.123.253.105 A 52.123.253.102 A 52.123.253.109 A 52.123.253.104 A 52.123.253.98 A 52.123.253.97"
"404677","6041.512980","106.51.156.186","192.168.0.101","DNS","205","Standard query response 0x5da6 HTTPS teams.microsoft.com CNAME teams.office.com CNAME tmc-g2.tm-4.office.com SOA ns1-34.azure-dns.com"
"404678","6041.512980","106.51.156.186","192.168.0.101","DNS","516","Standard query response 0xe86d AAAA go.trouter.teams.microsoft.com CNAME trouter-atm-pub-ent.trafficmanager.net CNAME pub-ent-krce-10-t.trouter.teams.microsoft.com CNAME partition-cname-trouter.pub-ent-krce-10.ic3-edf-trouter.koreacentral-prod.cosmic.office.net CNAME cosmic-koreacentral-ns-99d1c676411c.trafficmanager.net CNAME partition-cname-trouter-ic3-edf-trouter-service-trouter-1.d02-001.ic3-edf-trouter.01-koreacentral-prod.cosmic.office.net SOA ns1-36.azure-dns.com"
"404679","6041.512980","106.51.156.186","192.168.0.101","DNS","459","Standard query response 0x820e A go.trouter.teams.microsoft.com CNAME trouter-atm-pub-ent.trafficmanager.net CNAME pub-ent-krce-10-t.trouter.teams.microsoft.com CNAME partition-cname-trouter.pub-ent-krce-10.ic3-edf-trouter.koreacentral-prod.cosmic.office.net CNAME cosmic-koreacentral-ns-99d1c676411c.trafficmanager.net CNAME partition-cname-trouter-ic3-edf-trouter-service-trouter-1.d02-001.ic3-edf-trouter.01-koreacentral-prod.cosmic.office.net A 52.123.173.248"
"404680","6041.512980","106.51.156.186","192.168.0.101","DNS","516","Standard query response 0x9225 HTTPS go.trouter.teams.microsoft.com CNAME trouter-atm-pub-ent.trafficmanager.net CNAME pub-ent-krce-10-t.trouter.teams.microsoft.com CNAME partition-cname-trouter.pub-ent-krce-10.ic3-edf-trouter.koreacentral-prod.cosmic.office.net CNAME cosmic-koreacentral-ns-99d1c676411c.trafficmanager.net CNAME partition-cname-trouter-ic3-edf-trouter-service-trouter-1.d02-001.ic3-edf-trouter.01-koreacentral-prod.cosmic.office.net SOA ns1-36.azure-dns.com"
"404687","6041.561541","192.168.0.101","106.51.156.186","DNS","74","Standard query 0x9ed2 AAAA teams.live.com"
"404688","6041.561605","192.168.0.101","106.51.156.186","DNS","74","Standard query 0xeb05 A teams.live.com"
"404689","6041.561647","192.168.0.101","106.51.156.186","DNS","74","Standard query 0x05c4 HTTPS teams.live.com"
"404690","6041.564018","106.51.156.186","192.168.0.101","DNS","135","Standard query response 0x9ed2 AAAA teams.live.com CNAME s-0005.s-msedge.net AAAA 2620:1ec:42::132"
"404691","6041.564018","106.51.156.186","192.168.0.101","DNS","123","Standard query response 0xeb05 A teams.live.com CNAME s-0005.s-msedge.net A 52.113.194.132"
"404692","6041.564018","106.51.156.186","192.168.0.101","DNS","164","Standard query response 0x05c4 HTTPS teams.live.com CNAME s-0005.s-msedge.net SOA ns1.s-msedge.net"
"404733","6041.680711","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","100","Standard query 0x309c A activity.windows.com"
"404734","6041.680769","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","100","Standard query 0x58bb AAAA substrate.office.com"
"404735","6041.680784","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","100","Standard query 0xd390 AAAA activity.windows.com"
"404736","6041.680795","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","100","Standard query 0x85b3 A substrate.office.com"
"404737","6041.680813","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","100","Standard query 0xe3e4 HTTPS substrate.office.com"
"404744","6041.684015","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","166","Standard query response 0x309c A activity.windows.com CNAME activity-consumer.trafficmanager.net A 20.44.229.112"
"404745","6041.684015","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","382","Standard query response 0x58bb AAAA substrate.office.com CNAME outlook.office365.com CNAME ooc-g2.tm-4.office.com AAAA 2603:1046:700:48::2 AAAA 2603:1046:c06:896::2 AAAA 2603:1046:c06:894::2 AAAA 2603:1046:c06:897::2 AAAA 2603:1046:c06:895::2 AAAA 2603:1046:c06:8a0::2 AAAA 2603:1046:c06:803::2 AAAA 2603:1046:c06:906::2"
"404746","6041.684015","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","208","Standard query response 0xd390 AAAA activity.windows.com CNAME activity-consumer.trafficmanager.net SOA tm1.dns-tm.com"
"404747","6041.684015","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","286","Standard query response 0x85b3 A substrate.office.com CNAME outlook.office365.com CNAME ooc-g2.tm-4.office.com A 40.99.34.226 A 52.98.86.162 A 40.99.34.242 A 52.98.87.66 A 52.98.56.210 A 40.99.34.146 A 40.99.8.226 A 40.99.34.162"
"404748","6041.684015","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","241","Standard query response 0xe3e4 HTTPS substrate.office.com CNAME outlook.office365.com CNAME ooc-g2.tm-4.office.com SOA ns1-34.azure-dns.com"
"405307","6042.367040","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","104","Standard query 0xdf97 A ipv6.msftconnecttest.com"
"405308","6042.367854","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","104","Standard query 0x649d AAAA ipv6.msftconnecttest.com"
"405309","6042.371126","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","289","Standard query response 0xdf97 A ipv6.msftconnecttest.com CNAME ncsiv6-geo.trafficmanager.net CNAME ipv6.msftconnecttest.com.edgesuite.net CNAME a1968.i6g1.akamai.net SOA n0i6g1.akamai.net"
"405310","6042.371126","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","284","Standard query response 0x649d AAAA ipv6.msftconnecttest.com CNAME ncsiv6-geo.trafficmanager.net CNAME ipv6.msftconnecttest.com.edgesuite.net CNAME a1968.i6g1.akamai.net AAAA 2406:7400:48:4::6a33:9c90 AAAA 2406:7400:48:4::6a33:9c98"
"405311","6042.377938","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","103","Standard query 0x6c7e A www.msftconnecttest.com"
"405312","6042.378378","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","103","Standard query 0x6a27 AAAA www.msftconnecttest.com"
"405313","6042.379482","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","125","Standard query 0x0a51 AAAA pub-ent-ince-02-t.trouter.teams.microsoft.com"
"405314","6042.379701","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","125","Standard query 0x779a A pub-ent-ince-02-t.trouter.teams.microsoft.com"
"405315","6042.380626","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","247","Standard query response 0x6c7e A www.msftconnecttest.com CNAME ncsi-geo.trafficmanager.net CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g2.akamai.net A 106.51.156.144 A 106.51.156.139"
"405316","6042.380626","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","274","Standard query response 0x6a27 AAAA www.msftconnecttest.com CNAME ncsi-geo.trafficmanager.net CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g2.akamai.net SOA n0g2.akamai.net"
"405317","6042.381149","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","125","Standard query 0x9832 HTTPS pub-ent-ince-02-t.trouter.teams.microsoft.com"
"405318","6042.381910","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","485","Standard query response 0x0a51 AAAA pub-ent-ince-02-t.trouter.teams.microsoft.com CNAME partition-cname-trouter.pub-ent-ince-02.ic3-edf-trouter.centralindia-prod.cosmic.office.net CNAME cosmic-centralindia-ns-382ae8e94aa3.trafficmanager.net CNAME partition-cname-trouter-ic3-edf-trouter-service-trouter-1.d02-011.ic3-edf-trouter.01-centralindia-prod.cosmic.office.net SOA ns1-32.azure-dns.com"
"405319","6042.388088","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","428","Standard query response 0x779a A pub-ent-ince-02-t.trouter.teams.microsoft.com CNAME partition-cname-trouter.pub-ent-ince-02.ic3-edf-trouter.centralindia-prod.cosmic.office.net CNAME cosmic-centralindia-ns-382ae8e94aa3.trafficmanager.net CNAME partition-cname-trouter-ic3-edf-trouter-service-trouter-1.d02-011.ic3-edf-trouter.01-centralindia-prod.cosmic.office.net A 52.123.164.3"
"405320","6042.388088","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","485","Standard query response 0x9832 HTTPS pub-ent-ince-02-t.trouter.teams.microsoft.com CNAME partition-cname-trouter.pub-ent-ince-02.ic3-edf-trouter.centralindia-prod.cosmic.office.net CNAME cosmic-centralindia-ns-382ae8e94aa3.trafficmanager.net CNAME partition-cname-trouter-ic3-edf-trouter-service-trouter-1.d02-011.ic3-edf-trouter.01-centralindia-prod.cosmic.office.net SOA ns1-32.azure-dns.com"
"405363","6042.499550","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","107","Standard query 0x8a2a A roaming.officeapps.live.com"
"405364","6042.499616","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","107","Standard query 0xfa6c AAAA roaming.officeapps.live.com"
"405365","6042.513015","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","284","Standard query response 0x8a2a A roaming.officeapps.live.com CNAME prod.roaming1.live.com.akadns.net CNAME asia.roaming1.live.com.akadns.net CNAME inc-azsc-000.roaming.officeapps.live.com CNAME osiprod-inc-buff-azsc-000.centralindia.cloudapp.azure.com A 52.109.56.129"
"405366","6042.513015","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","296","Standard query response 0xfa6c AAAA roaming.officeapps.live.com CNAME prod.roaming1.live.com.akadns.net CNAME asia.roaming1.live.com.akadns.net CNAME inc-azsc-000.roaming.officeapps.live.com CNAME osiprod-inc-buff-azsc-000.centralindia.cloudapp.azure.com AAAA 2603:1046:1400::7"
"405438","6042.621501","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","108","Standard query 0x720a AAAA presence.teams.microsoft.com"
"405439","6042.621552","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","108","Standard query 0xd765 A presence.teams.microsoft.com"
"405440","6042.621565","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","108","Standard query 0x50b7 HTTPS presence.teams.microsoft.com"
"405441","6042.623481","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","190","Standard query response 0x720a AAAA presence.teams.microsoft.com CNAME presence.services.sfb.trafficmanager.net AAAA 2603:1063:c::3"
"405442","6042.623481","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","178","Standard query response 0xd765 A presence.teams.microsoft.com CNAME presence.services.sfb.trafficmanager.net A 52.123.168.25"
"405443","6042.623481","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","220","Standard query response 0x50b7 HTTPS presence.teams.microsoft.com CNAME presence.services.sfb.trafficmanager.net SOA tm1.dns-tm.com"
"405624","6042.876083","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","105","Standard query 0x539b A login.microsoftonline.com"
"405625","6042.876149","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","105","Standard query 0x0190 AAAA login.microsoftonline.com"
"405626","6042.878013","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","348","Standard query response 0x539b A login.microsoftonline.com CNAME login.mso.msidentity.com CNAME ak.privatelink.msidentity.com CNAME www.tm.ak.prd.aadg.trafficmanager.net A 20.190.145.142 A 40.126.17.134 A 20.190.145.143 A 20.190.145.141 A 40.126.17.135 A 40.126.17.131 A 40.126.17.133 A 20.190.145.160"
"405627","6042.878777","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","444","Standard query response 0x0190 AAAA login.microsoftonline.com CNAME login.mso.msidentity.com CNAME ak.privatelink.msidentity.com CNAME www.tm.ak.prd.aadg.trafficmanager.net AAAA 2603:1046:2000:60::f AAAA 2603:1046:2000:60::13 AAAA 2603:1046:2000:60::c AAAA 2603:1046:2000:60::d AAAA 2603:1046:2000:60::e AAAA 2603:1046:2000:60::9 AAAA 2603:1046:2000:60::10 AAAA 2603:1046:2000:60::12"
"406230","6049.222742","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","125","Standard query 0xdd7b AAAA pub-ent-ince-05-t.trouter.teams.microsoft.com"
"406231","6049.222803","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","125","Standard query 0xfca7 A pub-ent-ince-05-t.trouter.teams.microsoft.com"
"406233","6049.238933","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","485","Standard query response 0xdd7b AAAA pub-ent-ince-05-t.trouter.teams.microsoft.com CNAME partition-cname-trouter.pub-ent-ince-05.ic3-edf-trouter.centralindia-prod.cosmic.office.net CNAME cosmic-centralindia-ns-1c086cc2cda4.trafficmanager.net CNAME partition-cname-trouter-ic3-edf-trouter-service-trouter-1.d02-029.ic3-edf-trouter.01-centralindia-prod.cosmic.office.net SOA ns1-32.azure-dns.com"
"406234","6049.238933","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","428","Standard query response 0xfca7 A pub-ent-ince-05-t.trouter.teams.microsoft.com CNAME partition-cname-trouter.pub-ent-ince-05.ic3-edf-trouter.centralindia-prod.cosmic.office.net CNAME cosmic-centralindia-ns-1c086cc2cda4.trafficmanager.net CNAME partition-cname-trouter-ic3-edf-trouter-service-trouter-1.d02-029.ic3-edf-trouter.01-centralindia-prod.cosmic.office.net A 52.123.164.123"
"406244","6049.331475","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","115","Standard query 0x924e AAAA pub-csm-krce-02-t.trouter.skype.com"
"406245","6049.331534","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","115","Standard query 0xe35e A pub-csm-krce-02-t.trouter.skype.com"
"406247","6049.334646","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","485","Standard query response 0x924e AAAA pub-csm-krce-02-t.trouter.skype.com CNAME partition-cname-trouter.pub-csm-krce-02.ic3-edf-trouter.koreacentral-prod.cosmic.office.net CNAME cosmic-koreacentral-ns-f908182dc092.trafficmanager.net CNAME partition-cname-trouter-ic3-edf-trouter-service-trouter-1.d02-044.ic3-edf-trouter.01-koreacentral-prod.cosmic.office.net SOA ns1-36.azure-dns.com"
